Country,Code,Electoral District,Avg Income
V3H,Port Moody,Port Moody--Coquitlam,53626.81427
V3Y,Pitt Meadows,Pitt Meadows--Maple Ridge,50337.66393
V4B,White Rock,South Surrey--White Rock,64899.19061
V4T,Westbank,Central Okanagan--Similkameen--Nicola,47258.45093
V4V,Winfield,Kelowna--Lake Country,54150.45486
V2A,Penticton,South Okanagan--West Kootenay,44412.89886
V8K,Saltspring Island,Saanich--Gulf Islands,57076.28163
V1A,Kimberley,Kootenay--Columbia,48102.88607
V2H,Kamloops North,Kamloops--Thompson--Cariboo,47655.03127
V2J,Quesnel,Cariboo--Prince George,46465.20935
V2K,Prince George North,Cariboo--Prince George,46465.20935
V2L,Prince George East Central,Cariboo--Prince George,46465.20935
V2M,Prince George West Central,Cariboo--Prince George,46465.20935
V2N,Prince George South,Cariboo--Prince George,46465.20935
V2P,Chilliwack Central,Chilliwack--Hope,43767.37247
V2R,Chilliwack West,Chilliwack--Hope,43767.37247
V2S,Abbotsford Southeast,Abbotsford,43239.1018
V2T,Abbotsford Southwest,Abbotsford,43239.1018
V2V,Mission East,Mission--Matsqui--Fraser Canyon,40573.66609
V2W,Maple Ridge East,Pitt Meadows--Maple Ridge,50337.66393
V2X,Maple Ridge West,Pitt Meadows--Maple Ridge,50337.66393
V2Y,Langley Township Northwest,Cloverdale--Langley City,48645.12049
V2Z,Langley Township Southwest,Cloverdale--Langley City,48645.12049
V3C,Port Coquitlam South,Coquitlam--Port Coquitlam,47666.66003
V3E,Port Coquitlam North,Coquitlam--Port Coquitlam,47666.66003
V3G,Abbotsford East,Abbotsford,43239.1018
V3J,Coquitlam North,Coquitlam--Port Coquitlam,47666.66003
V3K,Coquitlam South,Coquitlam--Port Coquitlam,47666.66003
V3L,New Westminster Northeast,New Westminster--Burnaby,45464.78784
V3M,New Westminster Southwest (Includes Annacis Island),New Westminster--Burnaby,45464.78784
V3N,Burnaby (East Big Bend / Stride Avenue / Edmonds / Cariboo-Armstrong),New Westminster--Burnaby,45464.78784
V3R,Surrey North,Cloverdale--Langley City,48645.12049
V3S,Surrey East,Cloverdale--Langley City,48645.12049
V3T,Surrey Inner Northwest,Surrey Centre,32095.09479
V3V,Surrey Outer Northwest,Surrey Centre,32095.09479
V3W,Surrey Upper West,Surrey--Newton,34168.38724
V3X,Surrey Lower West,Surrey--Newton,34168.38724
V3Z,Surrey,Surrey Centre,32095.09479
V4C,Delta Northeast,Delta,53829.62438
V4E,Delta East,Delta,53829.62438
V4G,Delta East Central,Delta,53829.62438
V4K,Delta Central,Delta,53829.62438
V4L,Delta Southeast,Delta,53829.62438
V4M,Delta Southwest,Delta,53829.62438
V4N,Surrey Northeast,Fleetwood--Port Kells,40402.01609
V4P,Surrey South,South Surrey--White Rock,64899.19061
V4R,Maple Ridge Northwest,Pitt Meadows--Maple Ridge,50337.66393
V4S,Mission West,Mission--Matsqui--Fraser Canyon,40573.66609
V4W,Langley Township East,Langley--Aldergrove,55331.68948
V4X,Abbotsford West,Abbotsford,43239.1018
V4Z,Chilliwack East,Chilliwack--Hope,43767.37247
V5C,Burnaby (Burnaby Heights / Willingdon Heights / West Central Valley),Burnaby North--Seymour,55458.99737
V5E,Burnaby (Lakeview-Mayfield / Richmond Park / Kingsway-Beresford),New Westminster--Burnaby,45464.78784
V5G,Burnaby (Cascade-Schou / Douglas-Gilpin),New Westminster--Burnaby,45464.78784
V5H,Burnaby (Maywood / Marlborough / Oakalla / Windsor),New Westminster--Burnaby,45464.78784
V5J,Burnaby (Suncrest / Sussex-Nelson / Clinton-Glenwood / West Big Bend),Burnaby South,44146.73482
V5K,Vancouver (North Hastings-Sunrise),Vancouver East,47275.71716
V5L,Vancouver (North Grandview-Woodlands),Vancouver East,47275.71716
V5M,Vancouver (South Hastings-Sunrise / North Renfrew-Collingwood),Vancouver East,47275.71716
V5N,Vancouver (South Grandview-Woodlands / NE Kensington),Vancouver East,47275.71716
V5P,Vancouver (SE Kensington / Victoria-Fraserview),Vancouver Kingsway,40923.88162
V5R,Vancouver (South Renfrew-Collingwood),Vancouver Kingsway,40923.88162
V5S,Vancouver (Killarney),Vancouver South,39293.97632
V5T,Vancouver (East Mount Pleasant),Vancouver East,47275.71716
V5V,Vancouver (West Kensington / NE Riley Park-Little Mountain),Vancouver Kingsway,40923.88162
V5W,Vancouver (SE Riley Park-Little Mountain / SW Kensington / NE Oakridge / North Sunset),Vancouver Kingsway,40923.88162
V5X,Vancouver (SE Oakridge / East Marpole / South Sunset),Vancouver South,39293.97632
V5Y,Vancouver (West Mount Pleasant / West Riley Park-Little Mountain),Vancouver Granville,76282.46034
V5Z,Vancouver (East Fairview / South Cambie),Vancouver Granville,76282.46034
V6C,Vancouver (Waterfront / Coal Harbour / Canada Place),Vancouver Centre,76736.57953
V6E,Vancouver (South West End),Vancouver Centre,76736.57953
V6G,Vancouver (North West End / Stanley Park),Vancouver Centre,76736.57953
V6H,Vancouver (West Fairview / Granville Island / NE Shaughnessy),Vancouver Granville,76282.46034
V6J,Vancouver (NW Shaughnessy / East Kitsilano / Quilchena),Vancouver Centre,76736.57953
V6K,Vancouver (Central Kitsilano),Vancouver Quadra,81786.62973
V6L,Vancouver (NW Arbutus Ridge),Vancouver Quadra,81786.62973
V6M,Vancouver (South Shaughnessy / NW Oakridge / NE Kerrisdale / SE Arbutus Ridge),Vancouver Granville,76282.46034
V6N,Vancouver (Dunbar-Southlands / Musqueam),Vancouver Quadra,81786.62973
V6P,Vancouver (SE Kerrisdale / SW Oakridge / West Marpole),Vancouver Granville,76282.46034
V6R,Vancouver (West Kitsilano / Jericho),Vancouver Quadra,81786.62973
V6S,Vancouver (Chaldecutt / South University Endowment Lands),Vancouver Quadra,81786.62973
V6V,Richmond Northeast,Steveston--Richmond East,43182.21261
V6W,Richmond Southeast,Steveston--Richmond East,43182.21261
V6X,Richmond North,Steveston--Richmond East,43182.21261
V6Y,Richmond Central,Richmond Centre,41628.08742
V6Z,Vancouver (SW Downtown),Vancouver Centre,76736.57953
V7B,Richmond (Sea Island / YVR),Richmond Centre,41628.08742
V7C,Richmond West,Richmond Centre,41628.08742
V7E,Richmond Southwest,Richmond Centre,41628.08742
V7G,North Vancouver Outer East,Burnaby North--Seymour,55458.99737
V7H,North Vancouver Inner East,Burnaby North--Seymour,55458.99737
V7J,North Vancouver East Central,Burnaby North--Seymour,55458.99737
V7K,North Vancouver North Central,North Vancouver,65460.31411
V7L,North Vancouver South Central,North Vancouver,65460.31411
V7M,North Vancouver Southwest Central,North Vancouver,65460.31411
V7N,North Vancouver Northwest Central,North Vancouver,65460.31411
V7P,North Vancouver Southwest,North Vancouver,65460.31411
V7R,North Vancouver Northwest,North Vancouver,65460.31411
V7S,West Vancouver North,West Vancouver--Sunshine Coast--Sea to Sky Country,73189.38336
V7T,West Vancouver Southeast,West Vancouver--Sunshine Coast--Sea to Sky Country,73189.38336
V7V,West Vancouver South,West Vancouver--Sunshine Coast--Sea to Sky Country,73189.38336
V7W,West Vancouver West,West Vancouver--Sunshine Coast--Sea to Sky Country,73189.38336
V7X,Vancouver (Bentall Centre),Vancouver Centre,76736.57953
V7Y,Vancouver (Pacific Centre),Vancouver Centre,76736.57953
V8B,Squamish,West Vancouver--Sunshine Coast--Sea to Sky Country,73189.38336
V8C,Kitimat,Skeena--Bulkley Valley,43473.74666
V8E,Whistler,West Vancouver--Sunshine Coast--Sea to Sky Country,73189.38336
V8J,Prince Rupert,Skeena--Bulkley Valley,43473.74666
V8M,Central Saanich,Saanich--Gulf Islands,57076.28163
V8N,Saanich East,Saanich--Gulf Islands,57076.28163
V8P,Saanich Southeast,Saanich--Gulf Islands,57076.28163
V8R,Oak Bay North,Victoria,58668.1486
V8S,Oak Bay South,Victoria,58668.1486
V8T,Victoria North,Victoria,58668.1486
V8V,Victoria South,Victoria,58668.1486
V8W,Victoria Central British Columbia Provincial Government,Victoria,58668.1486
V8X,Saanich South,Saanich--Gulf Islands,57076.28163
V8Y,Saanich North,Saanich--Gulf Islands,57076.28163
V8Z,Saanich Central,Saanich--Gulf Islands,57076.28163
V9B,Highlands,Cowichan--Malahat--Langford,46781.726
